id,list
1,1000000
2,440550
3,141386
4,519970
5,132737
6,190000
7,388245
8,122100
9,456236
10,917741
11,747604
12,503492
13,366654
14,411675
15,169378
16,4211812
17,876834
18,900000
19,671031
20,1000000
21,372900
22,359263
23,400169
24,917301
25,335610
26,1420000
27,220000
28,1094096
29,619520
30,450000
31,308000
32,173830
33,236830
34,1500000
35,432322
36,813000
37,203566
38,206853
39,491706
40,361757
41,646338
42,2100000
43,971700
44,583000
45,834152
46,148511
47,1560000
